Yield Strength,Strain Hardening,Residual Depth,Width,Pile-up Height,Normal Force,Tangential Force
50.0,0.1,0.04085666666666665,0.38970399999999994,0.015235111111111088,8.04441,2.76805
50.0,0.2,0.04394622222222233,0.36504400000000004,0.018113999999999963,16.71473,5.93179
50.0,0.3,0.04457111111111112,0.34561688888888886,0.017996000000000012,26.71021,9.39176
50.0,0.4,0.04436222222222219,0.33615022222222224,0.0163348888888889,42.79518,14.63712
50.0,0.5,0.0432771111111111,0.30798133333333333,0.012781555555555602,68.04182,23.44886
100.0,0.1,0.04234088888888898,0.38589466666666666,0.0196924444444444,17.73044,6.16909
100.0,0.2,0.04347533333333342,0.35649155555555556,0.020683555555555455,26.41013,9.13036
100.0,0.3,0.043983111111111084,0.3476173333333333,0.01936288888888893,42.06327,14.3466
100.0,0.4,0.04340422222222218,0.3354284444444444,0.016945333333333368,62.60752,21.98904
100.0,0.5,0.04208511111111102,0.30593866666666664,0.01288111111111101,91.65588,32.40466
150.0,0.1,0.042101555555555614,0.37684844444444443,0.021711555555555595,23.93426,8.18823
150.0,0.2,0.04322599999999999,0.3586595555555555,0.021856666666666524,35.89233,12.54799
150.0,0.3,0.043572888888888994,0.3478137777777778,0.019923777777777874,52.36633,17.9244
150.0,0.4,0.04275955555555566,0.33375688888888894,0.016769111111111012,76.23815,27.21722
150.0,0.5,0.04124377777777788,0.3043795555555556,0.012749777777777749,106.99353,36.05499
200.0,0.1,0.041941555555555565,0.3662373333333333,0.022951333333333324,30.91925,10.91095
200.0,0.2,0.042915333333333305,0.3592742222222222,0.022378888888888837,45.25595,16.10539
200.0,0.3,0.04300399999999993,0.34725155555555554,0.020120444444444385,63.66135,22.33208
200.0,0.4,0.04221488888888891,0.33260577777777783,0.01669755555555552,88.22037,31.13567
200.0,0.5,0.040629111111111116,0.3030724444444445,0.012558666666666607,119.55824,40.317
250.0,0.1,0.04213266666666671,0.37090088888888895,0.024109777777777786,36.9353,12.53208
250.0,0.2,0.04282666666666668,0.35958444444444443,0.022696444444444297,50.72142,17.83738
250.0,0.3,0.042743555555555535,0.34635422222222223,0.020094666666666816,71.02405,24.63841
250.0,0.4,0.04174800000000001,0.3314728888888889,0.016537333333333293,97.27325,33.52781
250.0,0.5,0.040006666666666635,0.3018751111111111,0.012330888888888891,131.00851,43.89125
300.0,0.1,0.04220911111111103,0.3723506666666668,0.02454355555555554,42.91488,14.77934
300.0,0.2,0.04274911111111113,0.35979599999999995,0.02291977777777776,58.25985,19.91998
300.0,0.3,0.042379555555555615,0.34534577777777775,0.01999844444444443,76.80711,26.06055
300.0,0.4,0.0413231111111112,0.3302866666666667,0.016285555555555553,104.80412,36.05169
300.0,0.5,0.03957333333333335,0.30006222222222223,0.011669999999999958,138.47577,45.81949
350.0,0.1,0.04216200000000003,0.37348711111111116,0.024866888888888883,48.08335,16.52895
350.0,0.2,0.04261666666666675,0.3594662222222222,0.022976222222222287,63.66791,21.54707
350.0,0.3,0.042100444444444496,0.3439942222222222,0.01981222222222223,84.12633,29.25355
350.0,0.4,0.04100555555555552,0.31489333333333336,0.016033777777777813,114.00027,39.73147
350.0,0.5,0.03909644444444438,0.2996968888888889,0.01180711111111099,146.98582,48.6466
400.0,0.1,0.0420060000000001,0.3738377777777779,0.025056666666666616,53.99931,18.12426
400.0,0.2,0.04241022222222224,0.35917688888888893,0.023035777777777877,69.41391,24.10151
400.0,0.3,0.04185466666666671,0.34306133333333333,0.01973266666666662,89.76249,30.9863
400.0,0.4,0.04064488888888884,0.313808,0.015972222222222276,119.97034,41.57497
400.0,0.5,0.038759777777777726,0.2978577777777778,0.01109955555555564,152.28317,52.23958
450.0,0.1,0.04236977777777773,0.374279111111111,0.025190666666666583,57.99331,19.83822
450.0,0.2,0.0422499999999999,0.35807066666666665,0.022856222222222167,75.21411,25.57024
450.0,0.3,0.04154888888888886,0.34217555555555557,0.01966644444444443,96.92073,33.82901
450.0,0.4,0.040409999999999946,0.3123817777777778,0.015716666666666712,124.24055,41.76894
450.0,0.5,0.03828733333333334,0.2812466666666667,0.010921333333333338,161.37149,54.54633
500.0,0.1,0.04194355555555551,0.3742728888888889,0.02528555555555545,64.55693,23.0235
500.0,0.2,0.04193777777777774,0.3572617777777778,0.022736888888888807,79.49318,27.21341
500.0,0.3,0.04125533333333331,0.3413408888888889,0.01959955555555548,103.33112,36.09268
500.0,0.4,0.040124666666666586,0.3114524444444445,0.01567066666666661,129.12703,44.17156
500.0,0.5,0.03797777777777778,0.28054622222222225,0.010916222222222216,160.11781,52.82888
550.0,0.1,0.04193533333333321,0.3745404444444444,0.025394000000000028,70.68889,25.22293
550.0,0.2,0.04181888888888885,0.3565208888888889,0.022627333333333333,85.89829,29.63246
550.0,0.3,0.041060222222222165,0.34034755555555557,0.019459999999999922,109.14798,37.74978
550.0,0.4,0.03980622222222219,0.3105293333333334,0.01558488888888887,135.58754,44.42493
