Step,Time,RF1,RF2,RF3
,0.00000,0.00000,0.00000
IndentationStep,0.00005,4.58602,-11.75887,0.11006
IndentationStep,0.00010,18.60764,-46.24125,0.10499
ScratchingStep,0.00000,18.20636,-45.25620,0.67477
ScratchingStep,0.00010,21.47878,-53.39555,18.30888
ScratchingStep,0.00020,25.93958,-64.09100,23.10502
ScratchingStep,0.00030,27.39107,-67.35179,22.02474
ScratchingStep,0.00040,29.12285,-72.78463,25.48779
ScratchingStep,0.00050,30.09657,-74.57188,26.48820
ScratchingStep,0.00060,30.76581,-75.41557,27.68895
ScratchingStep,0.00070,33.82562,-82.87680,28.84180
ScratchingStep,0.00080,33.97412,-82.04814,30.07285
ScratchingStep,0.00090,31.75370,-77.41022,27.44364
ScratchingStep,0.00100,31.13433,-77.43164,27.38244
UnloadingStep,0.00000,29.96550,-74.55923,26.20568
UnloadingStep,0.00005,0.00000,0.00000,0.00000
UnloadingStep,0.00010,0.00000,0.00000,0.00000
